"topic","price_taste","probability"
38,"P2_American..New., P2_American..Traditional.",0.0221978066695152
38,"P2_American..New., P2_Tapas.Small.Plates",0.0215874178518383
38,"P2_American..Traditional.",0.0213839549126127
38,"P2_American..New.",0.0181285478850028
38,"P2_American..New.",0.016907770249649
39,"P2_American..New., P2_American..Traditional.",0.0344474272013771
39,"P2_American..New., P2_French, P2_Italian, P2_Mexican",0.0323982048812476
39,"P2_Chinese, P2_Noodles, P2_Szechuan",0.0323982048812476
39,"P2_American..New., P2_American..Traditional., P2_Italian, P2_Pizza",0.0229717822086518
39,"P2_American..New.",0.0219471710485871
39,"P2_American..New., P2_American..Traditional.",0.0215373265845612
39,"P2_American..Traditional., P2_Italian, P2_Seafood",0.0209225598885223
39,"P2_American..Traditional.",0.0207176376565094
40,"P1_Cheesesteaks, P1_Halal, P1_Indian, P1_Middle.Eastern",0.0449841134171947
40,"P2_American..New., P2_Pizza",0.039038257864323
40,"P2_American..New.",0.0382950259202141
40,"P2_Vietnamese",0.0375517939761051
40,"P2_Halal, P2_Lebanese, P2_Middle.Eastern",0.0349504821717237
40,"P1_Halal, P1_Indian, P1_Pakistani",0.029747858562961
40,"P1_Sandwiches",0.0277039707166614
40,"P1_Mexican, P1_Tacos, P1_Tex.Mex",0.0273323547446069
41,"P2_American..Traditional., P2_Southern",0.0570635829177904
41,"P2_Barbeque, P2_Mexican, P2_Tex.Mex",0.0444517743844467
41,"P2_American..Traditional., P2_Burgers, P2_Salad",0.0428995517957275
41,"P2_American..Traditional.",0.0415413570305982
41,"P2_American..New., P2_Burgers",0.0409592735598285
41,"P2_American..New.",0.0376608005588001
41,"P2_American..New., P2_American..Traditional., P2_Burgers",0.0364966336172607
41,"P2_American..New., P2_Burgers, P2_Greek, P2_Sandwiches, P2_Seafood",0.0331981606162324
42,"P2_Indian",0.0683933630109268
42,"P2_American..Traditional., P2_Burgers, P2_Kosher, P2_Seafood, P2_Tapas.Small.Plates",0.0669023834373469
42,"P2_American..New.",0.0534835672751283
42,"P2_Middle.Eastern",0.0500756139640887
42,"P2_Latin.American",0.0492236256363288
42,"P2_Falafel, P2_Middle.Eastern, P2_Sandwiches",0.0328228503269505
42,"P2_Mexican",0.0236639758035315
42,"P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.0236639758035315
43,"P2_American..New., P2_American..Traditional.",0.0480076033287744
43,"P2_Japanese, P2_Sushi.Bars",0.0417487656181182
43,"P2_American..New., P2_American..Traditional., P2_Specialty.Food",0.0398942951853311
43,"P2_American..New.",0.0396624863812328
43,"P2_Mexican",0.0327082222582814
43,"P2_Japanese, P2_Sushi.Bars",0.0327082222582814
43,"P2_Asian.Fusion, P2_Cambodian, P2_Chinese, P2_Malaysian, P2_Thai",0.032476413454183
43,"P2_American..New., P2_American..Traditional.",0.0299265166091008
44,"P2_Burgers, P2_Hot.Dogs",0.0366683205557067
44,"P2_Italian, P2_Pizza, P2_Salad, P2_Sandwiches",0.0341074601065958
44,"P2_American..New., P2_Comfort.Food",0.0294659005425823
44,"P2_Mexican",0.0269050400934714
44,"P2_American..New., P2_American..Traditional., P2_Pizza, P2_Sushi.Bars",0.0264248787592631
44,"P2_Cheesesteaks, P2_Sandwiches",0.0261047712031243
44,"P2_Chinese",0.0259447174250548
44,"P2_American..New., P2_American..Traditional., P2_Tapas.Small.Plates",0.0241841258662911
45,"P2_Fast.Food, P2_Mexican",0.0553643089446357
45,"P2_American..New.",0.0428117689571882
45,"P2_Italian, P2_Pizza",0.0334924589665075
45,"P2_Sandwiches",0.026075048973925
45,"P2_Asian.Fusion, P2_Thai",0.0247437189752563
45,"P2_American..New., P2_Fast.Food",0.023032008976968
45,"P1_Sandwiches",0.023032008976968
45,"P2_Italian, P2_Pizza",0.0205595389794405
46,"P1_Comfort.Food, P1_Kosher, P1_Middle.Eastern",0.048154187705063
46,"P2_American..New., P2_American..Traditional., P2_Sandwiches",0.0318473840350498
46,"P2_Specialty.Food",0.0296862413799878
46,"P2_Asian.Fusion, P2_Cantonese, P2_Chinese, P2_Dim.Sum, P2_Seafood, P2_Shanghainese, P2_Szechuan, P2_Tapas.Small.Plates",0.0277215662390224
46,"P2_Mexican, P2_Tex.Mex",0.0277215662390224
46,"P1_Japanese, P1_Korean",0.0237922159570915
46,"P2_American..New., P2_Sandwiches, P2_Southern, P2_Vietnamese",0.0230063459007053
46,"P2_Japanese, P2_Sushi.Bars",0.0226134108725122
46,"P2_Kosher",0.0226134108725122
47,"P2_Ethnic.Food, P2_Japanese, P2_Ramen, P2_Specialty.Food",0.0569605379706792
47,"P2_Japanese, P2_Sushi.Bars, P2_Taiwanese",0.0370758690504167
47,"P2_Asian.Fusion, P2_Korean",0.0343643232885627
47,"P2_Barbeque, P2_Chinese, P2_Hot.Pot, P2_Korean",0.0343643232885627
47,"P2_Asian.Fusion, P2_Chinese, P2_Hot.Pot, P2_Japanese, P2_Mongolian, P2_Seafood",0.028398922612484
47,"P1_Creperies, P1_Japanese, P1_Salad",0.0273143043077424
47,"P1_Taiwanese",0.0249642979808023
47,"P2_Asian.Fusion, P2_Barbeque, P2_Japanese, P2_Tapas.Small.Plates",0.0233373705236899
48,"P2_Chinese, P2_Comfort.Food, P2_Ethnic.Food, P2_Noodles, P2_Specialty.Food",0.0727865814819819
48,"P2_Barbeque, P2_Cantonese, P2_Chinese, P2_Dim.Sum, P2_Hong.Kong.Style.Cafe, P2_Noodles",0.0378505665038893
48,"P2_Thai, P2_Vietnamese",0.0363064332451891
48,"P2_Asian.Fusion, P2_Malaysian, P2_Singaporean, P2_Sushi.Bars, P2_Thai",0.0349553166438264
48,"P1_Ethnic.Food, P1_Sandwiches, P1_Specialty.Food, P1_Vietnamese",0.0345692833291513
48,"P2_Asian.Fusion, P2_Cambodian, P2_Chinese, P2_Malaysian, P2_Thai",0.0314810168117509
48,"P2_Chinese, P2_Noodles, P2_Szechuan",0.0309019668397383
48,"P2_Asian.Fusion, P2_Chinese, P2_Noodles, P2_Seafood",0.0307089501824007
49,"P2_Chinese, P2_Szechuan",0.057613716284286
49,"P2_American..New., P2_American..Traditional., P2_Comfort.Food",0.0340436047064191
49,"P2_Cantonese, P2_Chinese, P2_Dim.Sum",0.0329031154365223
49,"P2_American..New., P2_American..Traditional.",0.0294816476268319
49,"P1_Mexican, P1_Tacos, P1_Tex.Mex",0.02663042445209
49,"P2_Italian, P2_Pizza, P2_Tapas.Small.Plates",0.0254899351821932
49,"P1_Comfort.Food",0.0235891197323652
49,"P2_Burgers, P2_Sandwiches",0.0197874888327092
50,"P2_American..Traditional., P2_Comfort.Food",0.0282465372285732
50,"P2_American..Traditional.",0.0282465372285732
50,"P2_American..New., P2_American..Traditional., P2_Sandwiches",0.0246174318030606
50,"P2_Mexican",0.0244158148349765
50,"P2_American..New., P2_Salad, P2_Seafood, P2_Southern",0.0242141978668925
50,"P2_American..Traditional., P2_Korean",0.0240125808988084
50,"P3_American..New., P3_Comfort.Food, P3_Italian, P3_Seafood",0.0223996451541362
50,"P2_American..New., P2_American..Traditional., P2_Burgers",0.0191737736647916
