"topic","price_taste","Probability","taste","price_level"
15,"P1_Cheesesteaks, P1_Halal, P1_Indian, P1_Middle.Eastern",0.0215645326686577,"Cheesesteaks, Halal, Indian, Middle.Eastern","1"
15,"P2_American..New.",0.019319006878794,"American..New.","2"
15,"P2_Halal, P2_Lebanese, P2_Middle.Eastern",0.019319006878794,"Halal, Lebanese, Middle.Eastern","2"
15,"P2_American..New.",0.0169237793696061,"American..New.","2"
15,"P2_Mexican, P2_Tex.Mex",0.0157261656150121,"Mexican, Tex.Mex","2"
16,"P2_American..Traditional., P2_Southern",0.0306240384541788,"American..Traditional., Southern","2"
16,"P2_Mexican",0.028633973470903,"Mexican","2"
16,"P2_American..New.",0.0282512686664268,"American..New.","2"
16,"P2_American..New., P2_Burgers",0.0254192531133036,"American..New., Burgers","2"
16,"P2_Barbeque, P2_Mexican, P2_Tex.Mex",0.0253427121524084,"Barbeque, Mexican, Tex.Mex","2"
16,"P2_Mexican, P2_Tacos",0.0248069254261418,"Mexican, Tacos","2"
16,"P2_American..New.",0.0231995652473421,"American..New.","2"
16,"P2_Burgers",0.0195255991243714,"Burgers","2"
17,"P2_American..New.",0.0393341653273956,"American..New.","2"
17,"P2_American..New., P2_American..Traditional.",0.0365508758383537,"American..New., American..Traditional.","2"
17,"P2_Mexican",0.0307149462645562,"Mexican","2"
17,"P2_Greek",0.0223650777974304,"Greek","2"
17,"P2_Asian.Fusion, P2_Japanese, P2_Sushi.Bars",0.0199409224360068,"Asian.Fusion, Japanese, Sushi.Bars","2"
17,"P1_Sandwiches",0.0195817883083885,"Sandwiches","1"
17,"P2_Japanese, P2_Korean, P2_Sushi.Bars",0.0194022212445793,"Japanese, Korean, Sushi.Bars","2"
17,"P2_American..Traditional., P2_Tapas.Small.Plates",0.018414602393629,"American..Traditional., Tapas.Small.Plates","2"
18,"P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.0804847068858417,"Ethnic.Food, Israeli, Middle.Eastern, Specialty.Food","4"
18,"P2_Italian, P2_Pizza",0.0781668660009828,"Italian, Pizza","2"
18,"P2_British",0.0609221298176323,"British","2"
18,"P2_American..New.",0.0599022798282943,"American..New.","2"
18,"P3_American..New., P3_French",0.0597168525575056,"American..New., French","3"
